id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
99,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
103,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,10.3 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.91 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
124,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
128,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,10.3 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.91 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
149,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
150,51 Eridani b,97,2 Jupiters,5.21149,2015
151,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
152,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
153,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
154,55 Cancri d,41,3.878 Jupiters,5.95084,2002
155,55 Cancri e,41,7.99 Earths,5.95084,2004
156,55 Cancri f,41,0.141 Jupiters,5.95084,2007
157,61 Virginis b,28,5.1 Earths,4.6955,2009
158,61 Virginis c,28,18.2 Earths,4.6955,2009
159,61 Virginis d,28,22.9 Earths,4.6955,2009
160,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
161,70 Virginis b,58,7.49 Jupiters,4.96808,1996
162,75 Ceti b,271,3 Jupiters,5.3532,2012
163,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
164,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
165,81 Ceti b,330,5.3 Jupiters,5.64307,2008
166,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
167,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
168,AB Aurigae b,529,9 Jupiters,7.076,2022
169,AB Pictoris b,163,13.5 Jupiters,9.13,2005
170,AF Leporis b,88,5.237 Jupiters,6.332,2023
171,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
172,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
173,AU Microscopii b,32,20.12 Earths,8.81,2020
174,AU Microscopii c,32,9.6 Earths,8.81,2021
175,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
176,CoRoT-24 b,1930,5.7 Earths,15.383,2014
177,CoRoT-24 c,1930,28 Earths,15.383,2014
178,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
179,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
180,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
181,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
182,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
183,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
184,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
185,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
186,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
187,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
188,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
189,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
190,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
191,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
192,CoRoT-7 b,522,4.07661 Earths,11.728,2009
193,CoRoT-7 c,522,8.4 Earths,11.728,2009
194,CoRoT-7 d,522,17.142 Earths,11.728,2022
195,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
196,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
197,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
198,CT Chamaleontis b,622,17 Jupiters,12.335,2007
199,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
200,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
201,DH Tauri b,440,11 Jupiters,13.98,2004
202,DMPP-1 b,204,24.27 Earths,7.98,2019
203,DMPP-1 c,204,9.6 Earths,7.98,2019
204,DMPP-1 d,204,3.35 Earths,7.98,2019
205,DMPP-1 e,204,4.13 Earths,7.98,2019
206,DMPP-2 b,450,0.437 Jupiters,8.57,2019
207,DMPP-3 A b,148,2.58 Earths,9.066,2019
208,DP Leonis b,997,6.28 Jupiters,18.6837,2009
209,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
210,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
211,EPIC 201238110 b,520,4.16 Earths,16.014,2019
212,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
213,EPIC 201497682 b,825,0.26 Earths,13.948,2019
214,EPIC 201595106 b,757,2.24 Earths,11.746,2021
215,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
216,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
217,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
218,EPIC 201833600 c,840,0.972 Earths,14.705,2019
219,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
220,EPIC 205950854 c,796,2.27 Earths,12.365,2019
221,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
222,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
223,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
224,EPIC 206032309 b,526,1.01 Earths,17.89,2019
225,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
226,DH Tauri b,440,11 Jupiters,13.98,2004
227,DMPP-1 b,204,24.27 Earths,7.98,2019
228,DMPP-1 c,204,9.6 Earths,7.98,2019
229,DMPP-1 d,204,3.35 Earths,7.98,2019
230,DMPP-1 e,204,4.13 Earths,7.98,2019
231,DMPP-2 b,450,0.437 Jupiters,8.57,2019
232,DMPP-3 A b,148,2.58 Earths,9.066,2019
233,DP Leonis b,997,6.28 Jupiters,18.6837,2009
234,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
235,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
236,EPIC 201238110 b,520,4.16 Earths,16.014,2019
237,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
238,EPIC 201497682 b,825,0.26 Earths,13.948,2019
239,EPIC 201595106 b,757,2.24 Earths,11.746,2021
240,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
241,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
242,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
243,EPIC 201833600 c,840,0.972 Earths,14.705,2019
244,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
245,EPIC 205950854 c,796,2.27 Earths,12.365,2019
246,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
247,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
248,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
249,EPIC 206032309 b,526,1.01 Earths,17.89,2019
